arise_control_id,ARISE Domain,ISO 9001:2015 Clauses Mapped,ISO 9001 Themes,rationale
G.AC-01,GOVERN,"Cl. 5.1: Leadership and commitment; Cl. 5.3: Organizational roles, responsibilities and authorities; Cl. 6.1: Actions to address risks and opportunities; Cl. 9.3: Management review",Clause 5 - Leadership; Clause 6 - Planning; Clause 9 - Performance Evaluation,"Cl. 5.1: control name references top management commitment, management commitment. ; Cl. 5.3: 1 req(s) match (G.AC-01-req-03) on: roles & authorities. ; Cl. 6.1: 1 req(s) match (G.AC-01-req-05) on: residual risk. ; Cl. 9.3: 1 req(s) match (G.AC-01-req-04) on: management review."
G.AC-02,GOVERN,"Cl. 5.3: Organizational roles, responsibilities and authorities; Cl. 9.3: Management review",Clause 5 - Leadership; Clause 9 - Performance Evaluation,"Cl. 5.3: 3 req(s) match (G.AC-02-req-01, G.AC-02-req-03, G.AC-02-req-06) on: agendas and minutes, charters, quorum. ; Cl. 9.3: 3 req(s) match (G.AC-02-req-01, G.AC-02-req-03, G.AC-02-req-06) on: agendas and minutes, charters, quorum."
G.AC-03,GOVERN,Cl. 5.1: Leadership and commitment; Cl. 6.1: Actions to address risks and opportunities,Clause 5 - Leadership; Clause 6 - Planning,"Cl. 5.1: control name references executive leadership, board oversight. ; Cl. 6.1: 1 req(s) match (G.AC-03-req-01) on: risk appetite."
G.GV.A-01,GOVERN,"Cl. 5.3: Organizational roles, responsibilities and authorities",Clause 5 - Leadership,"Cl. 5.3: 2 req(s) match (G.GV.A-01-req-01, G.GV.A-01-req-03) on: accountable owner, raci."
G.GV.C-01,GOVERN,Cl. 7.3: Awareness,Clause 7 - Support,Cl. 7.3: 1 req(s) match (G.GV.C-01-req-04) on: acceptable-use acknowledgment.
G.GV.C-03,GOVERN,Cl. 4.4: QMS and its processes; Cl. 8.6: Release of products and services,Clause 4 - Context; Clause 8 - Operation,Cl. 4.4: 1 req(s) match (G.GV.C-03-req-05) on: isms. ; Cl. 8.6: 1 req(s) match (G.GV.C-03-req-04) on: pre-deployment.
G.GV.P-01,GOVERN,Cl. 4.4: QMS and its processes; Cl. 6.1: Actions to address risks and opportunities; Cl. 6.3: Planning of changes; Cl. 7.3: Awareness; Cl. 7.5: Documented information,Clause 4 - Context; Clause 6 - Planning; Clause 7 - Support,"Cl. 4.4: 1 req(s) match (G.GV.P-01-req-01) on: policy framework. ; Cl. 6.1: 1 req(s) match (G.GV.P-01-req-06) on: risk assessment. ; Cl. 6.3: 1 req(s) match (G.GV.P-01-req-06) on: change control, change management. ; Cl. 7.3: 1 req(s) match (G.GV.P-01-req-03) on: annual acknowledgment. ; Cl. 7.5: 1 req(s) match (G.GV.P-01-req-05) on: version control."
G.GV.P-02,GOVERN,"Cl. 8.1: Operational planning and control; Cl. 9.1: Monitoring, measurement, analysis and evaluation; Cl. 9.2: Internal audit",Clause 8 - Operation; Clause 9 - Performance Evaluation,Cl. 8.1: 1 req(s) match (G.GV.P-02-req-03) on: procedure. ; Cl. 9.1: 1 req(s) match (G.GV.P-02-req-05) on: continuous monitoring. ; Cl. 9.2: 1 req(s) match (G.GV.P-02-req-05) on: internal audit.
G.GV.P-03,GOVERN,Cl. 5.2: Quality policy; Cl. 7.1: Resources; Cl. 8.1: Operational planning and control; Cl. 10.1: Improvement - General,Clause 5 - Leadership; Clause 7 - Support; Clause 8 - Operation; Clause 10 - Improvement,"Cl. 5.2: control name references resilience polic. ; Cl. 7.1: 2 req(s) match (G.GV.P-03-req-02, G.GV.P-03-req-07) on: infrastructure. ; Cl. 8.1: 1 req(s) match (G.GV.P-03-req-07) on: procedure, runbook. ; Cl. 10.1: 1 req(s) match (G.GV.P-03-req-06) on: post-incident review."
G.GV.P-04,GOVERN,Cl. 5.2: Quality policy; Cl. 6.3: Planning of changes; Cl. 7.5: Documented information; Cl. 8.3: Design and development,Clause 5 - Leadership; Clause 6 - Planning; Clause 7 - Support; Clause 8 - Operation,"Cl. 5.2: 1 req(s) match (G.GV.P-04-req-04) on: ai policy. ; Cl. 6.3: 1 req(s) match (G.GV.P-04-req-05) on: change management. ; Cl. 7.5: 1 req(s) match (G.GV.P-04-req-06) on: model card. ; Cl. 8.3: 3 req(s) match (G.GV.P-04-req-01, G.GV.P-04-req-03, G.GV.P-04-req-06) on: mlops, model development, sdlc."
