node_id,parent_id,domain,name,description
D.SA,,DETECT,Security Assessments,
G.AC,,GOVERN,Accountability,
G.GV,,GOVERN,Governance,
G.GV.A,G.GV,GOVERN,AI Tenets,
G.GV.C,G.GV,GOVERN,Governance Code Of Conduct,
G.GV.P,G.GV,GOVERN,Governance Policies,
G.GV.S,G.GV,GOVERN,Governance Standards,
G.LR,,GOVERN,Legal & Regulatory Compliance,
G.PR,,GOVERN,Privacy Management,
G.RM,,GOVERN,Risk Management,
G.ST,,GOVERN,Scope & Alignment,
G.ST.O,G.ST,GOVERN,Organizational Scope,
G.ST.S,G.ST,GOVERN,Scope,
I.AM,,IDENTIFY,Asset Management,
I.DG,,IDENTIFY,Data Mapping,
I.IM,,IDENTIFY,AI Impacts,
I.RM,,IDENTIFY,Risk Management (Identify),
I.SC,,IDENTIFY,Supply Chain Risk,
I.TH,,IDENTIFY,Thresholds,
I.TM,,IDENTIFY,Threat Management,
M.DV,,MANAGE,Development Lifecycle,
M.OV,,MANAGE,Oversight,
M.RM,,MANAGE,Risk Management,
P.AC,,PROTECT,AI Controls,
P.AC.M,P.AC,PROTECT,Model Management,
P.AC.S,P.AC,PROTECT,Security,
P.AT,,PROTECT,Awareness & Training,
P.DS,,PROTECT,Data Security,
P.PY,,PROTECT,Physical Security,
P.RP,,PROTECT,Recovery Planning,
R.IC,,RESPOND,Incident Communication,
R.IC.E,R.IC,RESPOND,External Stakeholders,
R.IC.I,R.IC,RESPOND,Internal Stakeholders,
R.IM,,RESPOND,Incident Mitigation,
R.IR,,RESPOND,Incident Response,
V.AD,,VALIDATE,External Audit,
V.CI,,VALIDATE,Continuous Improvement,
V.TE,,VALIDATE,TEVV,
